RREG,HHNUM,RRPL,RPSU,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6M_DTLEFT,RQ6Y_DTLEFT,RQ7_MSTAT,RQ8_HGRADE,RQ9_USOCC,RQ10_REASON,RQ11_CTRY,RQ12_STAY,RQ13_INDWORK,RQ14_OCCUP1,RQ15_NOMONTH,RQ16_RET,RQ17M_DTRET,RQ17Y_DTRET,RQ18M_DTEXP,RQ18Y_DTEXP,RQ19_CASHREM,RQ20_CASHAMT,RQ21_MODE,RQ22_RET6MOS,RQ23_CASHHOME,RQ24_INKIND,RQ25_KINDAMT,RSWGT,RP6M_IND
01,0116,003,00444,03,03,2,28,01,07,2003,1,05,921,1,222,60,1,913,50,2,,,07,2008,1,0040000,1,2,,2,,000515.1925,1
01,0117,003,00444,08,05,2,25,01,08,2005,2,04,921,1,222,36,1,913,25,2,,,08,2008,1,0030000,1,2,,2,,000515.1925,1
01,0118,003,00444,03,03,2,21,01,05,2006,1,04,921,1,222,24,1,913,16,2,,,05,2008,1,0017000,1,2,,2,,000481.7365,1
01,0119,003,00444,02,02,2,25,01,09,2006,2,05,921,1,222,24,1,913,12,2,,,09,2008,1,0018000,1,2,,2,,000515.1925,1
01,0120,002,00448,03,04,2,51,01,12,2003,4,04,743,1,231,37,1,913,37,1,01,2007,,,2,,,2,,2,,000389.5351,2
01,0121,002,00450,02,02,2,38,01,11,2005,2,04,921,1,222,11,1,913,11,1,10,2006,,,2,,,2,,2,,000428.4012,2
01,0122,002,00450,04,05,2,36,01,06,2007,2,04,522,1,222,24,1,913,03,2,,,06,2009,2,,,2,,2,,000428.4012,1
01,0123,002,00450,06,03,2,27,01,07,2005,1,04,522,1,235,36,1,913,27,2,,,07,2008,1,0020000,5,2,,2,,000512.5123,1
01,0124,004,00457,01,01,1,35,05,12,2006,2,68,512,1,400,08,1,834,55,1,08,2007,,,1,0036000,1,1,0070000,2,,000401.3750,1
01,0125,004,00457,81,03,1,38,01,09,2004,2,04,931,1,214,37,1,932,36,2,,,10,2007,1,0002000,1,2,,2,,000392.0946,1
01,0126,004,00463,01,01,1,36,02,07,2006,2,04,832,1,233,23,1,832,39,2,,,06,2008,1,0030000,1,2,,2,,000446.8873,1
